Traffic,Threat,URL Filtering,Data Filtering,HIP Match,GlobalProtect,IP-Tag,User-ID,Decryption,Tunnel Inspection,SCTP,Authentication,Config,System,Correlated Events,GTP
device_name,recipient,recipient,recipient,,,,,notafter,pkts_received,assoc_end_reason,,,,,FUTURE_USE
action_source,reportid,reportid,reportid,,,,,cert_ver,max_encap,op_code,,,,,FUTURE_USE
src_uuid,dg_hier_level_1,dg_hier_level_1,dg_hier_level_1,,,,,cert_size,unknown_proto,sccp_calling_ssn,,,,,FUTURE_USE
dst_uuid,dg_hier_level_2,dg_hier_level_2,dg_hier_level_2,,,,,cn_len,strict_check,sccp_calling_gt,,,,,FUTURE_USE
tunnelid/imsi,dg_hier_level_3,dg_hier_level_3,dg_hier_level_3,,,,,issuer_len,tunnel_fragment,sctp_filter,,,,,FUTURE_USE
monitortag/imei,dg_hier_level_4,dg_hier_level_4,dg_hier_level_4,,,,,rootcn_len,sessions_created,chunks,,,,,FUTURE_USE
parent_session_id,vsys_name,vsys_name,vsys_name,,,,,sni_len,sessions_closed,chunks_sent,,,,,imsi
parent_start_time,device_name,device_name,device_name,,,,,cert_flags,session_end_reason,chunks_received,,,,,imei
tunnel,FUTURE_USE,FUTURE_USE,FUTURE_USE,,,,,cn,action_source,packets,,,,,FUTURE_USE
assoc_id,src_uuid,src_uuid,src_uuid,,,,,issuer_cn,start,pkts_sent,,,,,FUTURE_USE
chunks,dst_uuid,dst_uuid,dst_uuid,,,,,root_cn,elapsed,pkts_received,,,,,FUTURE_USE
chunks_sent,http_method,http_method,http_method,,,,,sni,tunnel_insp_rule,rule_uuid,,,,,FUTURE_USE
chunks_received,tunnel_id/imsi,tunnel_id/imsi,tunnel_id/imsi,,,,,error,remote_user_ip,high_res_timestamp,,,,,FUTURE_USE
rule_uuid,monitortag/imei,monitortag/imei,monitortag/imei,,,,,container_id,remote_user_id,,,,,,FUTURE_USE
http2_connection,parent_session_id,parent_session_id,parent_session_id,,,,,pod_namespace,rule_uuid,,,,,,FUTURE_USE
link_change_count,parent_start_time,parent_start_time,parent_start_time,,,,,pod_name,pcap_id,,,,,,FUTURE_USE
policy_id,tunnel,tunnel,tunnel,,,,,src_edl,dynusergroup_name,,,,,,FUTURE_USE
link_switches,thr_category,thr_category,thr_category,,,,,dst_edl,src_edl,,,,,,FUTURE_USE
sdwan_cluster,contentver,contentver,contentver,,,,,src_dag,dst_edl,,,,,,FUTURE_USE
sdwan_device_type,FUTURE_USE,FUTURE_USE,FUTURE_USE,,,,,dst_dag,high_res,,,,,,FUTURE_USE
sdwan_cluster_type,assoc_id,assoc_id,assoc_id,,,,,high_res_timestamp,nssai_sd,,,,,,FUTURE_USE
sdwan_site,ppid,ppid,ppid,,,,,src_category,nssai_sd,,,,,,FUTURE_USE
dynusergroup_name,http_headers,http_headers,http_headers,,,,,src_profile,pdu_session_id,,,,,,FUTURE_USE
xff_ip,url_category_list,url_category_list,url_category_list,,,,,src_model,subcategory_of_app,,,,,,FUTURE_USE
src_category,rule_uuid,rule_uuid,rule_uuid,,,,,src_vendor,category_of_app,,,,,,start
src_profile,http2_connection,http2_connection,http2_connection,,,,,src_osfamily,technology_of_app,,,,,,elapsed
src_model,dynusergroup_name,dynusergroup_name,dynusergroup_name,,,,,src_osversion,risk_of_app,,,,,,tunnel_insp_rule
src_vendor,xff_ip,xff_ip,xff_ip,,,,,src_host,characteristic_of_app,,,,,,remote_user_ip
src_osfamily,src_category,src_category,src_category,,,,,src_mac,container_of_app,,,,,,remote_user_id
src_osversion,src_profile,src_profile,src_profile,,,,,dst_category,is_saas_of_app,,,,,,rule_uuid
src_host,src_model,src_model,src_model,,,,,dst_profile,sanctioned_state_of_app,,,,,,pcap_id
src_mac,src_vendor,src_vendor,src_vendor,,,,,dst_model,cluster_name,,,,,,high_res_timestamp
dst_category,src_osfamily,src_osfamily,src_osfamily,,,,,dst_vendor,,,,,,,nsdsai_sst
dst_profile,src_osversion,src_osversion,src_osversion,,,,,dst_osfamily,,,,,,,nsdsai_sd
