Log Field Name,Data Type,Length,Message ID,Message Description,Message Meaning,Type,Category,Severity,Version
level,string,11,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
logid,string,10,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
msg,string,518,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
policyid,uint32,10,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
policytype,string,24,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
proto,uint8,3,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
ref,string,,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
service,string,36,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
sessionid,uint32,10,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
severity,string,8,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
srcintf,string,64,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
srcintfrole,string,10,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
srcip,ip,39,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
srcport,uint16,5,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
subtype,string,20,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
time,string,8,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
type,string,16,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
unauthuser,string,66,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
unauthusersource,string,66,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
user,string,256,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
vd,string,32,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
vrf,uint8,3,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
action,string,16,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
attack,string,256,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
attackid,uint32,10,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
count,uint32,10,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
craction,uint32,10,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
crlevel,string,10,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
crscore,uint32,10,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
date,string,10,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
dstintf,string,64,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
dstintfrole,string,10,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
dstip,ip,39,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
dstport,uint16,5,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
eventtime,uint64,20,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
eventtype,string,32,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
fctuid,string,32,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
group,string,64,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
icmpcode,string,6,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
icmpid,string,8,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
icmptype,string,6,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
level,string,11,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
logid,string,10,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
msg,string,518,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
policyid,uint32,10,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
policytype,string,24,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
proto,uint8,3,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
ref,string,,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
service,string,36,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
sessionid,uint32,10,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
severity,string,8,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
srcintf,string,64,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
srcintfrole,string,10,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
srcip,ip,39,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
srcport,uint16,5,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
subtype,string,20,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
time,string,8,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
type,string,16,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
unauthuser,string,66,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
unauthusersource,string,66,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
user,string,256,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
vd,string,32,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
vrf,uint8,3,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.0
action,string,16,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
attack,string,256,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
attackid,uint32,10,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
count,uint32,10,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
craction,uint32,10,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
crlevel,string,10,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
crscore,uint32,10,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
date,string,10,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
dstintf,string,64,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
dstintfrole,string,10,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
dstip,ip,39,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
dstport,uint16,5,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
eventtime,uint64,20,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
eventtype,string,32,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
fctuid,string,32,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
group,string,64,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
level,string,11,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
logid,string,10,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
msg,string,518,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
policyid,uint32,10,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
policytype,string,24,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
proto,uint8,3,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
ref,string,,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
service,string,36,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
sessionid,uint32,10,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
severity,string,8,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
srcintf,string,64,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
srcintfrole,string,10,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
srcip,ip,39,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
srcport,uint16,5,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
subtype,string,20,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
time,string,8,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
type,string,16,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
unauthuser,string,66,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
unauthusersource,string,66,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
user,string,256,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
vd,string,32,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
vrf,uint8,3,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.0
action,string,16,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,APP-CTRL-ALL,Information,6.2.0
app,string,96,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,APP-CTRL-ALL,Information,6.2.0
appcat,string,64,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,APP-CTRL-ALL,Information,6.2.0
applist,string,64,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,APP-CTRL-ALL,Information,6.2.0
date,string,10,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,APP-CTRL-ALL,Information,6.2.0
direction,string,8,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,APP-CTRL-ALL,Information,6.2.0
dstintf,string,64,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,APP-CTRL-ALL,Information,6.2.0
dstintfrole,string,10,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,APP-CTRL-ALL,Information,6.2.0
dstip,ip,39,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,APP-CTRL-ALL,Information,6.2.0
dstport,uint16,5,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,APP-CTRL-ALL,Information,6.2.0
eventtime,uint64,20,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,APP-CTRL-ALL,Information,6.2.0
eventtype,string,32,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,APP-CTRL-ALL,Information,6.2.0
fctuid,string,32,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,APP-CTRL-ALL,Information,6.2.0
group,string,64,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,APP-CTRL-ALL,Information,6.2.0
level,string,11,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,APP-CTRL-ALL,Information,6.2.0
logid,string,10,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,APP-CTRL-ALL,Information,6.2.0
policyid,uint32,10,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,APP-CTRL-ALL,Information,6.2.0
profiletype,string,36,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,APP-CTRL-ALL,Information,6.2.0
proto,uint8,3,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,APP-CTRL-ALL,Information,6.2.0
service,string,36,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,APP-CTRL-ALL,Information,6.2.0
sessionid,uint32,10,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,APP-CTRL-ALL,Information,6.2.0
srcintf,string,64,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,APP-CTRL-ALL,Information,6.2.0
srcintfrole,string,10,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,APP-CTRL-ALL,Information,6.2.0
srcip,ip,39,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,APP-CTRL-ALL,Information,6.2.0
srcport,uint16,5,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,APP-CTRL-ALL,Information,6.2.0
subtype,string,20,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,APP-CTRL-ALL,Information,6.2.0
time,string,8,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,APP-CTRL-ALL,Information,6.2.0
type,string,16,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,APP-CTRL-ALL,Information,6.2.0
unauthuser,string,66,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,APP-CTRL-ALL,Information,6.2.0
unauthusersource,string,66,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,APP-CTRL-ALL,Information,6.2.0
user,string,256,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,APP-CTRL-ALL,Information,6.2.0
vd,string,32,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,APP-CTRL-ALL,Information,6.2.0
vrf,uint8,3,28672,LOGID_APP_CTRL_IM_BASIC,Application control IM-basic,App,APP-CTRL-ALL,Information,6.2.0
action,string,16,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,APP-CTRL-ALL,Information,6.2.0
app,string,96,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,APP-CTRL-ALL,Information,6.2.0
appcat,string,64,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,APP-CTRL-ALL,Information,6.2.0
applist,string,64,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,APP-CTRL-ALL,Information,6.2.0
date,string,10,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,APP-CTRL-ALL,Information,6.2.0
direction,string,8,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,APP-CTRL-ALL,Information,6.2.0
dstintf,string,64,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,APP-CTRL-ALL,Information,6.2.0
dstintfrole,string,10,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,APP-CTRL-ALL,Information,6.2.0
dstip,ip,39,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,APP-CTRL-ALL,Information,6.2.0
dstport,uint16,5,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,APP-CTRL-ALL,Information,6.2.0
eventtime,uint64,20,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,APP-CTRL-ALL,Information,6.2.0
eventtype,string,32,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,APP-CTRL-ALL,Information,6.2.0
fctuid,string,32,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,APP-CTRL-ALL,Information,6.2.0
group,string,64,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,APP-CTRL-ALL,Information,6.2.0
level,string,11,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,APP-CTRL-ALL,Information,6.2.0
logid,string,10,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,APP-CTRL-ALL,Information,6.2.0
policyid,uint32,10,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,APP-CTRL-ALL,Information,6.2.0
profiletype,string,36,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,APP-CTRL-ALL,Information,6.2.0
proto,uint8,3,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,APP-CTRL-ALL,Information,6.2.0
service,string,36,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,APP-CTRL-ALL,Information,6.2.0
sessionid,uint32,10,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,APP-CTRL-ALL,Information,6.2.0
srcintf,string,64,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,APP-CTRL-ALL,Information,6.2.0
srcintfrole,string,10,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,APP-CTRL-ALL,Information,6.2.0
srcip,ip,39,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,APP-CTRL-ALL,Information,6.2.0
srcport,uint16,5,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,APP-CTRL-ALL,Information,6.2.0
subtype,string,20,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,APP-CTRL-ALL,Information,6.2.0
time,string,8,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,APP-CTRL-ALL,Information,6.2.0
type,string,16,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,APP-CTRL-ALL,Information,6.2.0
unauthuser,string,66,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,APP-CTRL-ALL,Information,6.2.0
unauthusersource,string,66,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,APP-CTRL-ALL,Information,6.2.0
user,string,256,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,APP-CTRL-ALL,Information,6.2.0
vd,string,32,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,APP-CTRL-ALL,Information,6.2.0
vrf,uint8,3,28673,LOGID_APP_CTRL_IM_BASIC_WITH_STATUS,Application control IM,App,APP-CTRL-ALL,Information,6.2.0
action,string,16,28674,LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,Application control IM (chat message count),App,APP-CTRL-ALL,Information,6.2.0
app,string,96,28674,LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,Application control IM (chat message count),App,APP-CTRL-ALL,Information,6.2.0
appcat,string,64,28674,LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,Application control IM (chat message count),App,APP-CTRL-ALL,Information,6.2.0
applist,string,64,28674,LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,Application control IM (chat message count),App,APP-CTRL-ALL,Information,6.2.0
date,string,10,28674,LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,Application control IM (chat message count),App,APP-CTRL-ALL,Information,6.2.0
direction,string,8,28674,LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,Application control IM (chat message count),App,APP-CTRL-ALL,Information,6.2.0
dstintf,string,64,28674,LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,Application control IM (chat message count),App,APP-CTRL-ALL,Information,6.2.0
dstintfrole,string,10,28674,LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,Application control IM (chat message count),App,APP-CTRL-ALL,Information,6.2.0
dstip,ip,39,28674,LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,Application control IM (chat message count),App,APP-CTRL-ALL,Information,6.2.0
dstport,uint16,5,28674,LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,Application control IM (chat message count),App,APP-CTRL-ALL,Information,6.2.0
eventtime,uint64,20,28674,LOGID_APP_CTRL_IM_BASIC_WITH_COUNT,Application control IM (chat message count),App,APP-CTRL-ALL,Information,6.2.0
