Log Field Name,Data Type,Length,Message ID,Message Description,Message Meaning,Type,Category,Severity,Version
count,uint32,10,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
craction,uint32,10,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
crlevel,string,10,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
crscore,uint32,10,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
date,string,10,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
devid,string,16,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
dstintf,string,64,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
dstintfrole,string,10,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
dstip,ip,39,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
eventtime,uint64,20,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
eventtype,string,32,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
fctuid,string,32,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
group,string,64,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
icmpcode,string,6,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
icmpid,string,8,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
icmptype,string,6,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
level,string,11,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
logid,string,10,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
msg,string,518,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
policyid,uint32,10,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
policytype,string,24,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
proto,uint8,3,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
ref,string,4096,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
service,string,80,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
sessionid,uint32,10,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
severity,string,8,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
srccountry,string,64,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
srcdomain,string,255,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
srcintf,string,64,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
srcintfrole,string,10,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
srcip,ip,39,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
subtype,string,20,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
time,string,8,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
type,string,16,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
tz,string,5,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
unauthuser,string,66,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
unauthusersource,string,66,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
user,string,256,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
vd,string,32,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
vrf,uint8,3,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
action,string,16,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
attack,string,256,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
attackid,uint32,10,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
count,uint32,10,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
craction,uint32,10,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
crlevel,string,10,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
crscore,uint32,10,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
date,string,10,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
devid,string,16,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
dstintf,string,64,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
dstintfrole,string,10,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
dstip,ip,39,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
dstport,uint16,5,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
eventtime,uint64,20,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
eventtype,string,32,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
fctuid,string,32,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
group,string,64,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
level,string,11,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
logid,string,10,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
msg,string,518,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
policyid,uint32,10,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
policytype,string,24,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
proto,uint8,3,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
ref,string,4096,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
service,string,80,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
sessionid,uint32,10,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
severity,string,8,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
srccountry,string,64,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
srcdomain,string,255,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
srcintf,string,64,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
srcintfrole,string,10,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
srcip,ip,39,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
srcport,uint16,5,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
subtype,string,20,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
time,string,8,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
type,string,16,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
tz,string,5,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
unauthuser,string,66,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
unauthusersource,string,66,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
user,string,256,18434,LOGID_ATTCK_ANOMALY_OTHERS,Attack detected by other anomaly,Anomaly,ANOMALY,Alert,6.2.2
